Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-01-04,CN,China,WPRO,1,1,0,0
2020-01-05,CN,China,WPRO,0,1,0,0
2020-01-06,CN,China,WPRO,3,4,0,0
2020-01-07,CN,China,WPRO,0,4,0,0
2020-01-08,CN,China,WPRO,0,4,0,0
2020-01-09,CN,China,WPRO,0,4,0,0
2020-01-10,CN,China,WPRO,0,4,0,0
2020-01-11,CN,China,WPRO,41,45,1,1
2020-01-12,CN,China,WPRO,0,45,0,1
2020-01-13,CN,China,WPRO,0,45,0,1
2020-01-14,CN,China,WPRO,0,45,0,1
2020-01-15,CN,China,WPRO,0,45,0,1
2020-01-16,CN,China,WPRO,0,45,0,1
2020-01-17,CN,China,WPRO,4,49,1,2
2020-01-18,CN,China,WPRO,17,66,0,2
2020-01-19,CN,China,WPRO,59,125,1,3
2020-01-20,CN,China,WPRO,77,202,1,4
2020-01-21,CN,China,WPRO,93,295,2,6
2020-01-22,CN,China,WPRO,152,447,3,9
2020-01-23,CN,China,WPRO,131,578,8,17
2020-01-24,CN,China,WPRO,261,839,8,25
2020-01-25,CN,China,WPRO,462,1301,16,41
2020-01-26,CN,China,WPRO,688,1989,15,56
2020-01-27,CN,China,WPRO,776,2765,24,80
2020-01-28,CN,China,WPRO,1772,4537,26,106
2020-01-29,CN,China,WPRO,1462,5999,26,132
2020-01-30,CN,China,WPRO,1741,7740,38,170
2020-01-31,CN,China,WPRO,1984,9724,43,213
2020-02-01,CN,China,WPRO,2101,11825,46,259
2020-02-02,CN,China,WPRO,2590,14415,45,304
2020-02-03,CN,China,WPRO,2827,17242,57,361
2020-02-04,CN,China,WPRO,3233,20475,64,425
2020-02-05,CN,China,WPRO,3892,24367,66,491
2020-02-06,CN,China,WPRO,3697,28064,73,564
2020-02-07,CN,China,WPRO,3151,31215,73,637
2020-02-08,CN,China,WPRO,3387,34602,86,723
2020-02-09,CN,China,WPRO,2653,37255,89,812
2020-02-10,CN,China,WPRO,2985,40240,97,909
2020-02-11,CN,China,WPRO,2472,42712,108,1017
2020-02-12,CN,China,WPRO,2022,44734,97,1114
2020-02-13,CN,China,WPRO,15152,59886,254,1368
2020-02-14,CN,China,WPRO,4050,63936,13,1381
2020-02-15,CN,China,WPRO,2644,66580,143,1524
2020-02-16,CN,China,WPRO,2008,68588,142,1666
2020-02-17,CN,China,WPRO,2051,70639,106,1772
2020-02-18,CN,China,WPRO,1893,72532,98,1870
2020-02-19,CN,China,WPRO,1751,74283,136,2006
2020-02-20,CN,China,WPRO,396,74679,115,2121
2020-02-21,CN,China,WPRO,892,75571,118,2239
2020-02-22,CN,China,WPRO,825,76396,109,2348
2020-02-23,CN,China,WPRO,649,77045,97,2445
2020-02-24,CN,China,WPRO,221,77266,150,2595
2020-02-25,CN,China,WPRO,517,77783,71,2666
2020-02-26,CN,China,WPRO,411,78194,52,2718
2020-02-27,CN,China,WPRO,440,78634,29,2747
2020-02-28,CN,China,WPRO,329,78963,44,2791
2020-02-29,CN,China,WPRO,430,79393,47,2838
2020-03-01,CN,China,WPRO,579,79972,35,2873
2020-03-02,CN,China,WPRO,206,80178,42,2915
2020-03-03,CN,China,WPRO,128,80306,31,2946
2020-03-04,CN,China,WPRO,120,80426,38,2984
2020-03-05,CN,China,WPRO,143,80569,31,3015
2020-03-06,CN,China,WPRO,146,80715,30,3045
2020-03-07,CN,China,WPRO,102,80817,28,3073
2020-03-08,CN,China,WPRO,46,80863,27,3100
2020-03-09,CN,China,WPRO,45,80908,23,3123
2020-03-10,CN,China,WPRO,20,80928,17,3140
2020-03-11,CN,China,WPRO,31,80959,22,3162
2020-03-12,CN,China,WPRO,26,80985,11,3173
2020-03-13,CN,China,WPRO,10,80995,7,3180
2020-03-14,CN,China,WPRO,30,81025,14,3194
2020-03-15,CN,China,WPRO,27,81052,10,3204
2020-03-16,CN,China,WPRO,29,81081,14,3218
2020-03-17,CN,China,WPRO,39,81120,13,3231
2020-03-18,CN,China,WPRO,58,81178,11,3242
2020-03-19,CN,China,WPRO,122,81300,11,3253
2020-03-20,CN,China,WPRO,116,81416,8,3261
2020-03-21,CN,China,WPRO,82,81498,6,3267
2020-03-22,CN,China,WPRO,1,81499,0,3267
2020-03-23,CN,China,WPRO,104,81603,9,3276
2020-03-24,CN,China,WPRO,164,81767,7,3283
2020-03-25,CN,China,WPRO,102,81869,4,3287
2020-03-26,CN,China,WPRO,92,81961,6,3293
2020-03-27,CN,China,WPRO,132,82093,5,3298
2020-03-28,CN,China,WPRO,120,82213,3,3301
2020-03-29,CN,China,WPRO,128,82341,5,3306
2020-03-30,CN,China,WPRO,114,82455,4,3310
2020-03-31,CN,China,WPRO,90,82545,4,3314
2020-04-01,CN,China,WPRO,93,82638,7,3321
2020-04-02,CN,China,WPRO,86,82724,6,3327
2020-04-03,CN,China,WPRO,78,82802,4,3331
2020-04-04,CN,China,WPRO,73,82875,4,3335
2020-04-05,CN,China,WPRO,55,82930,3,3338
2020-04-06,CN,China,WPRO,75,83005,2,3340
2020-04-07,CN,China,WPRO,66,83071,0,3340
2020-04-08,CN,China,WPRO,90,83161,2,3342
2020-04-09,CN,China,WPRO,88,83249,2,3344
2020-04-10,CN,China,WPRO,56,83305,1,3345
2020-04-11,CN,China,WPRO,78,83383,4,3349
2020-04-12,CN,China,WPRO,102,83485,0,3349
2020-04-13,CN,China,WPRO,112,83597,2,3351
2020-04-14,CN,China,WPRO,99,83696,0,3351
2020-04-15,CN,China,WPRO,51,83747,1,3352
2020-04-16,CN,China,WPRO,50,83797,0,3352
2020-04-17,CN,China,WPRO,352,84149,1290,4642
2020-04-18,CN,China,WPRO,31,84180,0,4642
2020-04-19,CN,China,WPRO,43,84223,0,4642
2020-04-20,CN,China,WPRO,16,84239,0,4642
2020-04-21,CN,China,WPRO,14,84253,0,4642
2020-04-22,CN,China,WPRO,35,84288,0,4642
2020-04-23,CN,China,WPRO,15,84303,0,4642
2020-04-24,CN,China,WPRO,9,84312,0,4642
2020-04-25,CN,China,WPRO,12,84324,0,4642
2020-04-26,CN,China,WPRO,14,84338,0,4642
2020-04-27,CN,China,WPRO,3,84341,1,4643
2020-04-28,CN,China,WPRO,6,84347,0,4643
2020-04-29,CN,China,WPRO,22,84369,0,4643
2020-04-30,CN,China,WPRO,4,84373,0,4643
2020-05-01,CN,China,WPRO,12,84385,0,4643
2020-05-02,CN,China,WPRO,6,84391,0,4643
2020-05-03,CN,China,WPRO,2,84393,0,4643
2020-05-04,CN,China,WPRO,8,84401,0,4643
2020-05-05,CN,China,WPRO,3,84404,0,4643
2020-05-06,CN,China,WPRO,2,84406,0,4643
2020-05-07,CN,China,WPRO,3,84409,0,4643
2020-05-08,CN,China,WPRO,6,84415,0,4643
2020-05-09,CN,China,WPRO,1,84416,0,4643
2020-05-10,CN,China,WPRO,14,84430,0,4643
2020-05-11,CN,China,WPRO,20,84450,0,4643
2020-05-12,CN,China,WPRO,1,84451,1,4644
2020-05-13,CN,China,WPRO,7,84458,0,4644
2020-05-14,CN,China,WPRO,6,84464,0,4644
2020-05-15,CN,China,WPRO,5,84469,0,4644
2020-05-16,CN,China,WPRO,9,84478,0,4644
2020-05-17,CN,China,WPRO,6,84484,1,4645
2020-05-18,CN,China,WPRO,10,84494,0,4645
2020-05-19,CN,China,WPRO,6,84500,0,4645
2020-05-20,CN,China,WPRO,5,84505,0,4645
2020-05-21,CN,China,WPRO,2,84507,0,4645
2020-05-22,CN,China,WPRO,13,84520,0,4645
2020-05-23,CN,China,WPRO,2,84522,0,4645
2020-05-24,CN,China,WPRO,3,84525,0,4645
2020-05-25,CN,China,WPRO,11,84536,0,4645
2020-05-26,CN,China,WPRO,7,84543,0,4645
2020-05-27,CN,China,WPRO,1,84544,0,4645
2020-05-28,CN,China,WPRO,3,84547,0,4645
2020-05-29,CN,China,WPRO,0,84547,0,4645
2020-05-30,CN,China,WPRO,18,84565,0,4645
2020-05-31,CN,China,WPRO,5,84570,0,4645
2020-06-01,CN,China,WPRO,18,84588,0,4645
2020-06-02,CN,China,WPRO,9,84597,0,4645
2020-06-03,CN,China,WPRO,5,84602,0,4645
2020-06-04,CN,China,WPRO,1,84603,0,4645
2020-06-05,CN,China,WPRO,11,84614,0,4645
2020-06-06,CN,China,WPRO,6,84620,0,4645
2020-06-07,CN,China,WPRO,9,84629,0,4645
2020-06-08,CN,China,WPRO,5,84634,0,4645
2020-06-09,CN,China,WPRO,4,84638,0,4645
2020-06-10,CN,China,WPRO,3,84641,0,4645
2020-06-11,CN,China,WPRO,11,84652,0,4645
2020-06-12,CN,China,WPRO,7,84659,0,4645
2020-06-13,CN,China,WPRO,12,84671,0,4645
2020-06-14,CN,China,WPRO,58,84729,0,4645
2020-06-15,CN,China,WPRO,49,84778,0,4645
2020-06-16,CN,China,WPRO,45,84823,0,4645
2020-06-17,CN,China,WPRO,44,84867,0,4645
2020-06-18,CN,China,WPRO,36,84903,0,4645
2020-06-19,CN,China,WPRO,37,84940,0,4645
2020-06-20,CN,China,WPRO,30,84970,0,4645
2020-06-21,CN,China,WPRO,27,84997,1,4646
2020-06-22,CN,China,WPRO,21,85018,0,4646
2020-06-23,CN,China,WPRO,52,85070,0,4646
2020-06-24,CN,China,WPRO,28,85098,1,4647
2020-06-25,CN,China,WPRO,21,85119,0,4647
2020-06-26,CN,China,WPRO,29,85148,1,4648
2020-06-27,CN,China,WPRO,24,85172,0,4648
2020-06-28,CN,China,WPRO,18,85190,0,4648
2020-06-29,CN,China,WPRO,14,85204,0,4648
2020-06-30,CN,China,WPRO,23,85227,0,4648
2020-07-01,CN,China,WPRO,5,85232,0,4648
2020-07-02,CN,China,WPRO,31,85263,0,4648
2020-07-03,CN,China,WPRO,15,85278,0,4648
2020-07-04,CN,China,WPRO,9,85287,0,4648
2020-07-05,CN,China,WPRO,19,85306,0,4648
2020-07-06,CN,China,WPRO,14,85320,0,4648
2020-07-07,CN,China,WPRO,25,85345,0,4648
2020-07-08,CN,China,WPRO,21,85366,0,4648
2020-07-09,CN,China,WPRO,33,85399,0,4648
2020-07-10,CN,China,WPRO,46,85445,0,4648
2020-07-11,CN,China,WPRO,42,85487,0,4648
2020-07-12,CN,China,WPRO,35,85522,0,4648
2020-07-13,CN,China,WPRO,46,85568,0,4648
2020-07-14,CN,China,WPRO,55,85623,1,4649
2020-07-15,CN,China,WPRO,54,85677,0,4649
2020-07-16,CN,China,WPRO,20,85697,2,4651
2020-07-17,CN,China,WPRO,78,85775,0,4651
2020-07-18,CN,China,WPRO,82,85857,1,4652
2020-07-19,CN,China,WPRO,80,85937,1,4653
2020-07-20,CN,China,WPRO,131,86068,0,4653
2020-07-21,CN,China,WPRO,84,86152,0,4653
2020-07-22,CN,China,WPRO,74,86226,2,4655
2020-07-23,CN,China,WPRO,135,86361,0,4655
2020-07-24,CN,China,WPRO,139,86500,1,4656
2020-07-25,CN,China,WPRO,160,86660,1,4657
2020-07-26,CN,China,WPRO,179,86839,2,4659
2020-07-27,CN,China,WPRO,189,87028,0,4659
2020-07-28,CN,China,WPRO,217,87245,4,4663
2020-07-29,CN,China,WPRO,212,87457,1,4664
2020-07-30,CN,China,WPRO,223,87680,1,4665
2020-07-31,CN,China,WPRO,276,87956,1,4666
2020-08-01,CN,China,WPRO,166,88122,2,4668
2020-08-02,CN,China,WPRO,180,88302,6,4674
2020-08-03,CN,China,WPRO,158,88460,3,4677
